PLAYER;TEAM;NUMBER;POSITION;WEIGHT;LAST ATTENDED;COUNTRY
"Vit
Krejci";ATL;27;G;195 lbs;Zaragoza;Czech Republic
"Jonathan
Kuminga";GSW;0;F;225 lbs;NBA G League Ignite;DRC
"Kyle
Kuzma";WAS;33;F;221 lbs;Utah;USA
"Jake
LaRavia";MEM;3;F;235 lbs;Wake Forest;USA
"Zach
LaVine";CHI;8;G;200 lbs;UCLA;USA
"Jock
Landale";HOU;2;C;255 lbs;St. Mary's;Australia
"A.J.
Lawson";DAL;9;G;179 lbs;South Carolina;Canada
"Caris
LeVert";CLE;3;G;205 lbs;Michigan;USA
"Damion
Lee";PHX;10;G-F;210 lbs;Drexel;USA
"Saben
Lee";PHX;38;G;183 lbs;Vanderbilt;USA
"Alex
Len";SAC;25;C;250 lbs;Maryland;Ukraine
"Kawhi
Leonard";LAC;2;F;225 lbs;San Diego State;USA
"Maxwell
Lewis";LAL;21;F;195 lbs;Pepperdine;USA
"Kira
Lewis Jr.";UTA;13;G;170 lbs;Alabama;USA
"E.J.
Liddell";NOP;32;F;240 lbs;Ohio State;USA
"Damian
Lillard";MIL;0;G;195 lbs;Weber State;USA
"Nassir
Little";PHX;25;F-G;220 lbs;North Carolina;USA
"Dereck
Lively II";DAL;2;C;230 lbs;Duke;USA
"Isaiah
Livers";WAS;12;F;232 lbs;Michigan;USA
"Chris
Livingston";MIL;7;F;220 lbs;Kentucky;USA
"Kenneth
Lofton Jr.";UTA;35;F;275 lbs;Louisiana Tech;USA
"Kevon
Looney";GSW;5;F;222 lbs;UCLA;USA
"Brook
Lopez";MIL;11;C;282 lbs;Stanford;USA
"Robin
Lopez";;;C;281 lbs;Stanford;USA
"Kevin
Love";MIA;42;F-C;251 lbs;UCLA;USA
"Kyle
Lowry";PHI;7;G;196 lbs;Villanova;USA
"Seth
Lundy";ATL;3;G-F;220 lbs;Penn State;USA
"Trey
Lyles";SAC;41;F;234 lbs;Kentucky;Canada
"Theo
Maledon";;;G;175 lbs;Asvel;France
"Sandro
Mamukelashvili";SAS;54;F-C;240 lbs;Seton Hall;Georgia
"Terance
Mann";LAC;14;G-F;215 lbs;Florida State;USA
"Tre
Mann";CHA;23;G;178 lbs;Florida;USA
"Boban
Marjanovic";HOU;51;C;290 lbs;Crvena zvezda;Serbia
"Lauri
Markkanen";UTA;23;F-C;240 lbs;Arizona;Finland
"Naji
Marshall";NOP;8;F;220 lbs;Xavier;USA
"Caleb
Martin";MIA;16;F;205 lbs;Nevada;USA
"Cody
Martin";CHA;11;F;205 lbs;Nevada;USA
"Jaylen
Martin";BKN;16;G;216 lbs;Overtime Elite;USA
"KJ
Martin";PHI;1;F;215 lbs;IMG Academy (FL);USA
"Garrison
Mathews";ATL;25;G;215 lbs;Lipscomb;USA
"Bennedict
Mathurin";IND;0;G-F;210 lbs;Arizona;Canada
"Wesley
Matthews";ATL;32;G;220 lbs;Marquette;USA
"Tyrese
Maxey";PHI;0;G;200 lbs;Kentucky;USA
"Skylar
Mays";LAL;4;G;205 lbs;Louisiana State;USA
"Miles
McBride";NYK;2;G;195 lbs;West Virginia;USA
"CJ
McCollum";NOP;3;G;190 lbs;Lehigh;USA
"T.J.
McConnell";IND;9;G;190 lbs;Arizona;USA
"Jaden
McDaniels";MIN;3;F;185 lbs;Washington;USA
"Jalen
McDaniels";TOR;2;F;190 lbs;San Diego State;USA
"Doug
McDermott";IND;20;F;225 lbs;Creighton;USA
"JaVale
McGee";SAC;0;C-F;270 lbs;Nevada;USA
"Bryce
McGowens";CHA;7;G;175 lbs;Nebraska;USA
"Jordan
McLaughlin";MIN;6;G;185 lbs;Southern California;USA
"De'Anthony
Melton";PHI;8;G;200 lbs;Southern California;USA
"Nathan
Mensah";;;C;230 lbs;San Diego State;Ghana
"Sam
Merrill";CLE;5;G;205 lbs;Utah State;USA
"Chimezie
Metu";DET;4;F-C;225 lbs;Southern California;USA
"Vasilije
Micic";CHA;22;G;188 lbs;Serbia;Serbia
"Khris
Middleton";MIL;22;F;222 lbs;Texas A&M;USA
"Brandon
Miller";CHA;24;F;200 lbs;Alabama;USA
"Jordan
Miller";LAC;11;G;194 lbs;Miami;USA
"Leonard
Miller";MIN;33;F;210 lbs;NBA G League Ignite;Canada
"Patty
Mills";MIA;8;G;180 lbs;St. Mary's;Australia
"Shake
Milton";NYK;13;G-F;205 lbs;Southern Methodist;USA
"Justin
Minaya";POR;24;F;205 lbs;Providence;USA
"Josh
Minott";MIN;8;F;205 lbs;Memphis;USA
"Davion
Mitchell";SAC;15;G;202 lbs;Baylor;USA
"Donovan
Mitchell";CLE;45;G;215 lbs;Louisville;USA
"Evan
Mobley";CLE;4;C;215 lbs;Southern California;USA
"Isaiah
Mobley";CLE;15;F;238 lbs;Southern California;USA
"Malik
Monk";SAC;0;G;200 lbs;Kentucky;USA
"Moses
Moody";GSW;4;G;211 lbs;Arkansas;USA
"Xavier
Moon";LAC;22;G;165 lbs;Morehead State;USA
"Taze
Moore";;;G;195 lbs;Houston;USA
"Wendell
Moore Jr.";MIN;7;G;215 lbs;Duke;USA
"Ja
Morant";MEM;12;G;174 lbs;Murray State;USA
"Markieff
Morris";DAL;88;F;245 lbs;Kansas;USA
"Monte
Morris";MIN;23;G;183 lbs;Iowa State;USA
"Marcus
Morris Sr.";CLE;24;F;218 lbs;Kansas;USA
"Trey
Murphy III";NOP;25;F;206 lbs;Virginia;USA
"Dejounte
Murray";ATL;5;G;180 lbs;Washington;USA
"Jamal
Murray";DEN;27;G;215 lbs;Kentucky;Canada
"Keegan
Murray";SAC;13;F;225 lbs;Iowa;USA
"Kris
Murray";POR;8;F;210 lbs;Iowa;USA
"Mike
Muscala";OKC;50;F-C;240 lbs;Bucknell;USA
"Svi
Mykhailiuk";BOS;50;G-F;205 lbs;Kansas;Ukraine
"Pete
Nance";CLE;8;F;225 lbs;North Carolina;USA
"Larry
Nance Jr.";NOP;22;F-C;245 lbs;Wyoming;USA
"Andrew
Nembhard";IND;2;G-F;191 lbs;Gonzaga;Canada
"Aaron
Nesmith";IND;23;G-F;215 lbs;Vanderbilt;USA
"Georges
Niang";CLE;20;F;230 lbs;Iowa State;USA
"Daishen
Nix";MIN;12;G;226 lbs;NBA G League Ignite;USA
"Zeke
Nnaji";DEN;22;F-C;240 lbs;Arizona;USA
"Jaylen
Nowell";;;G;201 lbs;Washington;USA
"Markquis
Nowell";;;G;160 lbs;Kansas State;USA
"Frank
Ntilikina";;;G;200 lbs;Strasbourg IG;France
"Jusuf
Nurkic";PHX;20;C;290 lbs;Cedevita;Bosnia and Herzegovina
"Jordan
Nwora";TOR;13;F;225 lbs;Louisville;USA
"Royce
O'Neale";PHX;0;F;226 lbs;Baylor;USA
"Chuma
Okeke";ORL;3;F;229 lbs;Auburn;USA
"Josh
Okogie";PHX;2;G;213 lbs;Georgia Tech;Nigeria
"Onyeka
Okongwu";ATL;17;F-C;240 lbs;Southern California;USA
"Isaac
Okoro";CLE;35;F-G;225 lbs;Auburn;USA
"Kelly
Olynyk";TOR;41;F-C;240 lbs;Gonzaga;Canada
"Eugene
Omoruyi";WAS;97;F;235 lbs;Oregon;Nigeria
"Cedi
Osman";SAS;16;F;230 lbs;Anadolu Efes;Turkey
"Kelly
Oubre Jr.";PHI;9;F-G;203 lbs;Kansas;USA
"Chris
Paul";GSW;3;G;175 lbs;Wake Forest;USA
"Cameron
Payne";PHI;22;G;183 lbs;Murray State;USA
"Gary
Payton II";GSW;0;G;195 lbs;Oregon State;USA
"Maozinha
Pereira";MEM;;F;177 lbs;;Brazil
"Drew
Peterson";BOS;13;F;205 lbs;Southern California;USA
"Filip
Petrusev";;;C;225 lbs;Gonzaga;Serbia
"Julian
Phillips";CHI;15;F;198 lbs;Tennessee;USA
"Jalen
Pickett";DEN;24;G;202 lbs;Penn State;USA
"Scotty
Pippen Jr.";MEM;1;G;170 lbs;Vanderbilt;USA
"Mason
Plumlee";LAC;44;F-C;254 lbs;Duke;USA
"Brandin
Podziemski";GSW;2;G;205 lbs;Santa Clara;USA
"Jakob
Poeltl";TOR;19;C;260 lbs;Utah;Austria
"Aleksej
Pokusevski";CHA;17;F;210 lbs;Olympiacos;Serbia
"Jordan
Poole";WAS;13;G;194 lbs;Michigan;USA
"Jontay
Porter";TOR;34;C-F;240 lbs;Missouri;USA
"Craig
Porter Jr.";CLE;9;G;180 lbs;Wichita State;USA
"Michael
Porter Jr.";DEN;1;F;218 lbs;Missouri;USA
"Otto
Porter Jr.";;;F;230 lbs;Georgetown;USA
"Bobby
Portis";MIL;9;F;250 lbs;Arkansas;USA
"Kristaps
Porzingis";BOS;8;F-C;240 lbs;Cajasol Sevilla;Latvia
"Micah
Potter";UTA;25;C;248 lbs;Wisconsin;USA
"Dwight
Powell";DAL;7;F-C;240 lbs;Stanford;Canada
"Norman
Powell";LAC;24;G;215 lbs;UCLA;USA
"Jason
Preston";UTA;10;G;181 lbs;Ohio;USA
"Joshua
Primo";LAC;12;G;189 lbs;Alabama;Canada
"Taurean
Prince";LAL;12;F;218 lbs;Baylor;USA
"Payton
Pritchard";BOS;11;G;195 lbs;Oregon;USA
"Olivier-Maxence
Prosper";DAL;18;F;230 lbs;Marquette;Canada
"Trevelin
Queen";ORL;12;G;190 lbs;New Mexico State;USA
"Neemias
Queta";BOS;88;C;248 lbs;Utah State;Portugal
"Immanuel
Quickley";TOR;5;G;190 lbs;Kentucky;USA
"Lester
Quinones";GSW;25;G;208 lbs;Memphis;USA
"Jahmi'us
Ramsey";;;G;190 lbs;Texas Tech;USA
"Julius
Randle";NYK;30;F-C;250 lbs;Kentucky;USA
"Duop
Reath";POR;26;C;245 lbs;Louisiana State;South Sudan
"Austin
Reaves";LAL;15;G;197 lbs;Oklahoma;USA
"Cam
Reddish";LAL;5;F-G;217 lbs;Duke;USA
"Paul
Reed";PHI;44;F;210 lbs;DePaul;USA
"Naz
Reid";MIN;11;C-F;264 lbs;Louisiana State;USA
"Jared
Rhoden";DET;8;G;210 lbs;Seton Hall;USA
"Nick
Richards";CHA;4;C;245 lbs;Kentucky;Jamaica
"Josh
Richardson";MIA;0;G;200 lbs;Tennessee;USA
"Duncan
Robinson";MIA;55;F;215 lbs;Michigan;USA
"Jerome
Robinson";GSW;18;G;190 lbs;Boston College;USA
"Mitchell
Robinson";NYK;23;C-F;240 lbs;Western Kentucky;USA
"Orlando
Robinson";MIA;25;C;235 lbs;Fresno State;USA
"Jeremiah
Robinson-Earl";NOP;50;F;240 lbs;Villanova;USA
"David
Roddy";PHX;21;F;255 lbs;Colorado State;USA
"Ryan
Rollins";MIL;55;G;180 lbs;Toledo;USA
"Derrick
Rose";MEM;23;G;200 lbs;Memphis;USA
"Terry
Rozier";MIA;2;G;190 lbs;Louisville;USA
"Rayan
Rupert";POR;72;G-F;185 lbs;New Zealand Breakers;France
"D'Angelo
Russell";LAL;1;G;193 lbs;Ohio State;USA
"Matt
Ryan";NOP;37;F;215 lbs;Tennessee-Chattanooga;USA
"Domantas
Sabonis";SAC;10;F-C;240 lbs;Gonzaga;Lithuania
"Luka
Samanic";UTA;19;F;227 lbs;Union Olimpija;Croatia
"Jermaine
Samuels Jr.";HOU;0;F;230 lbs;Villanova;USA
"Adama
Sanogo";CHI;21;F;245 lbs;Connecticut;Mali
"Gui
Santos";GSW;15;F;185 lbs;Minas;Brazil
"Dario
Saric";GSW;20;F-C;225 lbs;Anadolu Efes;Croatia
"Olivier
Sarr";OKC;30;C;240 lbs;Kentucky;France
"Marcus
Sasser";DET;25;G;195 lbs;Houston;USA
"Admiral
Schofield";ORL;25;F;241 lbs;Tennessee;United Kingdom
"Dennis
Schroder";BKN;17;G;175 lbs;Braunschweig;Germany
"Dereon
Seabron";NOP;0;G;180 lbs;North Carolina State;USA
"Alperen
Sengun";HOU;28;C;243 lbs;Besiktas;Turkey
"Brice
Sensabaugh";UTA;8;F;235 lbs;Ohio State;USA
"Collin
Sexton";UTA;2;G;190 lbs;Alabama;USA
"Landry
Shamet";WAS;20;G;190 lbs;Wichita State;USA
"Day'Ron
Sharpe";BKN;20;C;265 lbs;North Carolina;USA
"Shaedon
Sharpe";POR;17;G;205 lbs;Kentucky;Canada
"Ben
Sheppard";IND;26;G;190 lbs;Belmont;USA
"Pascal
Siakam";IND;43;F;245 lbs;New Mexico State;Cameroon
"Ben
Simmons";BKN;10;G-F;240 lbs;Louisiana State;Australia
"Kobi
Simmons";TOR;23;G;180 lbs;Arizona;USA
"Anfernee
Simons";POR;1;G;193 lbs;Edgewater HS (FL);USA
"Zavier
Simpson";MEM;9;G;190 lbs;Michigan;USA
"Jericho
Sims";NYK;45;C;250 lbs;Texas;USA
"Dmytro
Skapintsev";;;C;215 lbs;;Ukraine
"Jalen
Slawson";SAC;18;F;215 lbs;Furman;USA
"Javonte
Smart";;;G;205 lbs;Louisiana State;USA
"Marcus
Smart";MEM;36;G;220 lbs;Oklahoma State;USA
"Dru
Smith";;;G;203 lbs;Missouri;USA
"Ish
Smith";;;G;175 lbs;Wake Forest;USA
"Jalen
Smith";IND;25;F-C;215 lbs;Maryland;USA
"Terquavion
Smith";PHI;23;G;160 lbs;North Carolina State;USA
"Dennis
Smith Jr.";BKN;4;G;205 lbs;North Carolina State;USA
"Jabari
Smith Jr.";HOU;10;F;220 lbs;Auburn;USA
"Nick
Smith Jr.";CHA;8;G;185 lbs;Arkansas;USA
"Jeremy
Sochan";SAS;10;F;230 lbs;Baylor;Poland
"Pat
Spencer";GSW;61;G;205 lbs;Northwestern;USA
"Jaden
Springer";BOS;44;G;202 lbs;Tennessee;USA
"Lamar
Stevens";MEM;24;F;230 lbs;Penn State;USA
"Isaiah
Stewart";DET;28;F-C;250 lbs;Washington;USA
"Julian
Strawther";DEN;3;G;205 lbs;Gonzaga;USA
"Max
Strus";CLE;1;G-F;215 lbs;DePaul;USA
"Jalen
Suggs";ORL;4;G;205 lbs;Gonzaga;USA
"Cole
Swider";MIA;21;F;220 lbs;Syracuse;USA
"Jae'Sean
Tate";HOU;8;F;230 lbs;Ohio State;USA
"Jayson
Tatum";BOS;0;F-G;210 lbs;Duke;USA
"Terry
Taylor";CHI;32;F;230 lbs;Austin Peay;USA
"Garrett
Temple";TOR;17;G-F;195 lbs;Louisiana State;USA
"Dalen
Terry";CHI;25;F;195 lbs;Arizona;USA
"Daniel
Theis";LAC;10;F-C;245 lbs;Brose Bamberg;Germany
"Cam
Thomas";BKN;24;G;210 lbs;Louisiana State;Japan
"Isaiah
Thomas";PHX;4;G;185 lbs;Washington;USA
"Amen
Thompson";HOU;1;G-F;200 lbs;Overtime Elite;USA
"Ausar
Thompson";DET;9;G-F;205 lbs;Overtime Elite;USA
"Klay
Thompson";GSW;11;G;220 lbs;Washington State;USA
"Tristan
Thompson";CLE;13;C-F;254 lbs;Texas-Austin;Canada
"JT
Thor";CHA;21;F;203 lbs;Auburn;USA
"Matisse
Thybulle";POR;4;G-F;201 lbs;Washington;USA
"Xavier
Tillman";BOS;26;F;245 lbs;Michigan State;USA
"Jacob
Toppin";NYK;0;F;200 lbs;Kentucky;USA
"Obi
Toppin";IND;1;F;220 lbs;Dayton;USA
"Juan
Toscano-Anderson";;;F;209 lbs;Marquette;USA
"Karl-Anthony
Towns";MIN;32;C-F;248 lbs;Kentucky;USA
"Gary
Trent Jr.";TOR;33;G;204 lbs;Duke;USA
"Oscar
Tshiebwe";IND;44;F-C;255 lbs;Kentucky;DRC
"P.J.
Tucker";LAC;17;F;245 lbs;Texas;USA
"Myles
Turner";IND;33;C-F;250 lbs;Texas;USA
"Hunter
Tyson";DEN;4;F;215 lbs;Clemson;USA
"Stanley
Umude";DET;17;G;210 lbs;Arkansas;USA
"Jonas
Valanciunas";NOP;17;C;265 lbs;Lietuvos rytas Vilnius;Lithuania
"Fred
VanVleet";HOU;5;G;197 lbs;Wichita State;USA
"Jarred
Vanderbilt";LAL;2;F;214 lbs;Kentucky;USA
"Devin
Vassell";SAS;24;G-F;200 lbs;Florida State;USA
"Sasha
Vezenkov";SAC;7;F;225 lbs;Barcelona, Spain;Bulgaria
"Gabe
Vincent";LAL;7;G;200 lbs;California-Santa Barbara;USA
"Nikola
Vucevic";CHI;9;C;260 lbs;Southern California;Montenegro
"Tristan
Vukcevic";WAS;;F;220 lbs;Real Madrid;Italy
"Dean
Wade";CLE;32;F-C;228 lbs;Kansas State;USA
"Franz
Wagner";ORL;22;F;220 lbs;Michigan;Germany
"Moritz
Wagner";ORL;21;F-C;245 lbs;Michigan;Germany
"Ish
Wainright";PHX;12;F;250 lbs;Baylor;USA
"Jabari
Walker";POR;34;F;227 lbs;Colorado;USA
"Jarace
Walker";IND;5;F;235 lbs;Houston;USA
"Lonnie
Walker IV";BKN;8;G-F;204 lbs;Miami;USA
"Cason
Wallace";OKC;22;G;195 lbs;Kentucky;USA
"Jordan
Walsh";BOS;27;G;205 lbs;Arkansas;USA
"T.J.
Warren";MIN;24;F;220 lbs;North Carolina State;USA
"P.J.
Washington";DAL;25;F;230 lbs;Kentucky;USA
"Duane
Washington Jr.";NYK;1;G;197 lbs;Ohio State;Germany
"TyTy
Washington Jr.";MIL;23;G;195 lbs;Kentucky;USA
"Yuta
Watanabe";MEM;18;G-F;215 lbs;George Washington;Japan
"Lindy
Waters III";OKC;12;F;210 lbs;Oklahoma State;USA
"Trendon
Watford";BKN;9;F;237 lbs;Louisiana State;USA
"Peyton
Watson";DEN;8;G;200 lbs;UCLA;USA
"Victor
Wembanyama";SAS;1;F-C;210 lbs;Metropolitans 92;France
"Blake
Wesley";SAS;14;G;185 lbs;Notre Dame;USA
"Russell
Westbrook";LAC;0;G;200 lbs;UCLA;USA
"Coby
White";CHI;0;G;195 lbs;North Carolina;USA
"Derrick
White";BOS;9;G;190 lbs;Colorado;USA
"Dariq
Whitehead";BKN;0;F;220 lbs;Duke;USA
"Cam
Whitmore";HOU;7;F;230 lbs;Villanova;USA
"Aaron
Wiggins";OKC;21;G;190 lbs;Maryland;USA
"Andrew
Wiggins";GSW;22;F;197 lbs;Kansas;Canada
"Lindell
Wigginton";;;G;189 lbs;Iowa State;Canada
"Alondes
Williams";MIA;15;G;210 lbs;Wake Forest;USA
"Brandon
Williams";DAL;0;G;190 lbs;Arizona;USA
"Grant
Williams";CHA;2;F;236 lbs;Tennessee;USA
"Jalen
Williams";OKC;8;G-F;211 lbs;Santa Clara;USA
"Jaylin
Williams";OKC;6;F;240 lbs;Arkansas;USA
"Kenrich
Williams";OKC;34;G-F;210 lbs;TCU;USA
"Mark
Williams";CHA;5;C;240 lbs;Duke;USA
"Nate
Williams";HOU;19;G;205 lbs;Buffalo;USA
"Patrick
Williams";CHI;44;F;215 lbs;Florida State;USA
"Ziaire
Williams";MEM;8;F;185 lbs;Stanford;USA
"Robert
Williams III";POR;35;C-F;249 lbs;Texas A&M;USA
"Vince
Williams Jr.";MEM;5;G;205 lbs;Virginia Commonwealth;USA
"Zion
Williamson";NOP;1;F;284 lbs;Duke;USA
"D.J.
Wilson";PHI;23;F;231 lbs;Michigan;USA
"Jalen
Wilson";BKN;22;F;220 lbs;Kansas;USA
"Dylan
Windler";ATL;20;G-F;196 lbs;Belmont;USA
"James
Wiseman";DET;13;C;240 lbs;Memphis;USA
"Isaiah
Wong";IND;21;G;185 lbs;Miami;USA
"Christian
Wood";LAL;35;F;214 lbs;UNLV;USA
"Delon
Wright";MIA;4;G;185 lbs;Utah;USA
"Thaddeus
Young";PHX;30;F;225 lbs;Georgia Tech;USA
"Trae
Young";ATL;11;G;164 lbs;Oklahoma;USA
"Omer
Yurtseven";UTA;77;C;275 lbs;Georgetown;Turkey
"Cody
Zeller";NOP;40;F-C;240 lbs;Indiana;USA
"Ivica
Zubac";LAC;40;C;240 lbs;Mega Basket;Croatia